Matrixsizexsize(random),Time(s),equalsround1e-6
195,0.14,true
195,0.17,true
195,0.18,true
195,0.18,true
195,0.14,true
200,0.2,true
200,0.15,true
200,0.14,true
200,0.16,true
200,0.14,true
200,0.15,true
200,0.17,true
200,0.14,true
200,0.15,true
200,0.14,true
200,0.13,true
200,0.15,true
200,0.19,true
200,0.14,true
200,0.15,true
200,0.19,true
200,0.16,true
200,0.14,true
200,0.14,true
200,0.15,true
205,0.2,true
205,0.16,true
205,0.21,true
205,0.15,true
205,0.17,true
205,0.21,true
205,0.15,true
205,0.16,true
205,0.21,true
205,0.21,true
205,0.16,true
205,0.21,true
205,0.21,true
205,0.15,true
205,0.16,true
205,0.16,true
205,0.16,true
205,0.17,true
205,0.16,true
205,0.15,true
210,0.2,true
210,0.19,true
210,0.19,true
210,0.16,true
210,0.17,true
210,0.18,true
210,0.17,true
210,0.17,true
210,0.17,true
210,0.22,true
210,0.19,true
210,0.16,true
210,0.19,true
210,0.21,true
210,0.22,true
210,0.18,true
210,0.22,true
210,0.19,true
210,0.23,true
210,0.17,true
215,0.18,true
215,0.18,true
215,0.2,true
215,0.17,true
215,0.18,true
215,0.25,true
215,0.18,true
215,0.22,true
215,0.2,true
215,0.2,true
215,0.22,true
215,0.17,true
215,0.19,true
215,0.2,true
215,0.24,true
215,0.24,true
215,0.2,true
215,0.18,true
215,0.17,true
215,0.2,true
220,0.26,true
220,0.2,true
220,0.19,true
220,0.19,true
220,0.22,true
220,0.26,true
220,0.2,true
220,0.2,true
220,0.21,true
220,0.21,true
220,0.2,true
220,0.2,true
220,0.26,true
220,0.21,true
220,0.26,true
220,0.25,true
220,0.23,true
220,0.25,true
220,0.27,true
220,0.27,true
225,0.23,true
225,0.21,true
225,0.24,true
225,0.24,true
225,0.23,true
225,0.21,true
225,0.28,true
225,0.21,true
225,0.2,true
225,0.28,true
225,0.22,true
225,0.2,true
225,0.26,true
225,0.25,true
225,0.22,true
225,0.21,true
225,0.27,true
225,0.24,true
225,0.29,true
225,0.26,true
230,0.25,true
230,0.22,true
230,0.3,true
230,0.28,true
230,0.22,true
230,0.24,true
230,0.26,true
230,0.22,true
230,0.22,true
230,0.23,true
230,0.3,true
230,0.25,true
230,0.23,true
230,0.24,true
230,0.21,true
230,0.22,true
230,0.29,true
230,0.22,true
230,0.21,true
230,0.3,true
235,0.27,true
235,0.32,true
235,0.31,true
235,0.3,true
235,0.23,true
235,0.29,true
235,0.25,true
235,0.24,true
235,0.24,true
235,0.32,true
235,0.31,true
235,0.28,true
235,0.32,true
235,0.32,true
235,0.26,true
235,0.28,true
235,0.24,true
235,0.24,true
235,0.26,true
235,0.28,true
240,0.3,true
240,0.3,true
240,0.28,true
240,0.27,true
240,0.28,true
240,0.28,true
240,0.27,true
240,0.26,true
240,0.29,true
240,0.25,true
240,0.24,true
240,0.3,true
240,0.3,true
240,0.25,true
240,0.34,true
240,0.35,true
240,0.24,true
240,0.26,true
240,0.32,true
240,0.34,true
245,0.33,true
245,0.37,true
245,0.36,true
245,0.33,true
245,0.34,true
245,0.26,true
245,0.37,true
245,0.29,true
245,0.28,true
245,0.36,true
245,0.27,true
245,0.29,true
245,0.33,true
245,0.27,true
245,0.31,true
245,0.31,true
245,0.27,true
245,0.3,true
245,0.32,true
245,0.3,true
250,0.39,true
250,0.33,true
250,0.39,true
250,0.33,true
250,0.37,true
250,0.35,true
250,0.32,true
250,0.28,true
250,0.3,true
