Matrixsizexsize(random),Time(s),equalsround1e-6
25,0.0008959,true
25,0.0010024,true
25,0.0011993,true
25,0.0010436,true
25,0.00083,true
25,0.0010649,true
25,0.0009462,true
25,0.000896,true
25,0.0013931,true
25,0.0009413,true
25,0.0011597,true
25,0.000855,true
25,0.0008426,true
25,0.0011274,true
25,0.0012015,true
25,0.0009973,true
25,0.0009907,true
25,0.0008539,true
25,0.0011287,true
25,0.0010135,true
25,0.0010055,true
25,0.0008821,true
25,0.0013365,true
25,0.0009615,true
25,0.0008431,true
25,0.0010903,true
25,0.000975,true
25,0.0009312,true
25,0.001062,true
25,0.0008375,true
25,0.0010613,true
25,0.0010432,true
25,0.0008298,true
25,0.0011693,true
25,0.0014422,true
25,0.0009942,true
25,0.0008892,true
25,0.0009036,true
25,0.0009393,true
25,0.0009348,true
25,0.0008536,true
25,0.0008342,true
25,0.0009769,true
25,0.0009963,true
25,0.0008724,true
25,0.001032,true
25,0.0008818,true
25,0.001163,true
25,0.0008671,true
25,0.0010024,true
25,0.0008839,true
25,0.0009854,true
25,0.0008261,true
25,0.0010218,true
25,0.001018,true
25,0.0011102,true
25,0.0010388,true
25,0.0010525,true
25,0.000952,true
25,0.0010682,true
25,0.0012694,true
25,0.0010282,true
25,0.0008643,true
25,0.0009881,true
25,0.000883,true
25,0.0009487,true
25,0.0010092,true
25,0.0017773,true
25,0.0012066,true
25,0.00086,true
25,0.0009,true
25,0.0009055,true
25,0.0010406,true
25,0.0008542,true
25,0.0010457,true
25,0.0011779,true
25,0.0009289,true
25,0.0008727,true
25,0.0011383,true
25,0.000868,true
25,0.0010078,true
25,0.0010233,true
30,0.0008786,true
30,0.0008355,true
30,0.0009002,true
30,0.0008801,true
30,0.0009447,true
30,0.0008786,true
30,0.0008699,true
30,0.0008961,true
30,0.0009963,true
30,0.0008338,true
30,0.0008593,true
30,0.0009105,true
30,0.0009464,true
30,0.0011451,true
30,0.0008925,true
30,0.0008617,true
30,0.0008951,true
30,0.008456,true
30,0.0008408,true
30,0.0010226,true
30,0.0010258,true
30,0.0008535,true
30,0.0009252,true
30,0.0012237,true
30,0.0008426,true
30,0.0009467,true
30,0.0011727,true
30,0.001065,true
30,0.0010524,true
30,0.000933,true
30,0.0009222,true
30,0.0010749,true
30,0.0008728,true
30,0.0011633,true
30,0.0010093,true
30,0.0058261,true
30,0.0009615,true
30,0.0012011,true
30,0.0009226,true
30,0.0009751,true
30,0.0010769,true
30,0.0010217,true
30,0.0009689,true
30,0.0010481,true
30,0.0008935,true
30,0.0009855,true
30,0.0030996,true
30,0.0010774,true
30,0.0013787,true
30,0.0011201,true
30,0.0008707,true
30,0.0009679,true
30,0.0010245,true
30,0.0008749,true
30,0.0008739,true
30,0.0009548,true
30,0.0009003,true
30,0.0012251,true
30,0.0008501,true
30,0.0008786,true
30,0.0009418,true
30,0.0053349,true
30,0.0010605,true
30,0.0015563,true
30,0.0009794,true
30,0.001029,true
30,0.0008367,true
30,0.0008545,true
30,0.0052476,true
30,0.0010062,true
30,0.0011591,true
30,0.0008868,true
30,0.0008816,true
30,0.0008413,true
30,0.0008497,true
30,0.0010585,true
30,0.0008323,true
30,0.0008485,true
30,0.0010035,true
30,0.0010145,true
30,0.0010728,true
30,0.0009929,true
30,0.0010907,true
30,0.0009405,true
30,0.0010053,true
30,0.0010501,true
30,0.0008746,true
30,0.0009609,true
30,0.0013271,true
30,0.0009511,true
30,0.001592,true
30,0.0010418,true
30,0.0008554,true
30,0.0008891,true
30,0.0009516,true
30,0.0009007,true
30,0.00114,true
30,0.0009379,true
30,0.0011463,true
30,0.0008484,true
35,0.0010791,true
35,0.0009306,true
35,0.000885,true
35,0.0009599,true
35,0.0010856,true
35,0.0010287,true
35,0.0010376,true
35,0.0010207,true
35,0.0008831,true
35,0.0010231,true
35,0.0009681,true
35,0.001036,true
35,0.0010704,true
35,0.0010452,true
35,0.0009242,true
35,0.0011966,true
35,0.0010868,true
35,0.0009978,true
35,0.0009586,true
35,0.0010208,true
35,0.0010866,true
35,0.000879,true
35,0.0008826,true
35,0.0010051,true
35,0.0010542,true
35,0.0010972,true
35,0.0010229,true
35,0.0009942,true
35,0.0009319,true
35,0.000908,true
35,0.0010138,true
35,0.0011892,true
35,0.0009988,true
35,0.0009548,true
35,0.0009348,true
35,0.0011762,true
35,0.0010086,true
35,0.0010452,true
35,0.0009677,true
35,0.001201,true
35,0.0011094,true
35,0.0010425,true
35,0.0011409,true
35,0.0010244,true
35,0.0013881,true
35,0.0009658,true
35,0.0012293,true
35,0.0009309,true
35,0.0009078,true
35,0.0009062,true
35,0.0009427,true
35,0.0012821,true
